mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois,recence_decl_mois,recence_seg_mois,ecart_mois_decl_vs_seg,regime,centre_impot,segment,activite,RISQUE_BIN
0.0,-656.0,2.0,23.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 6,J,"AUTRES ACTIVITES FOURNIES A LA COLLECTIVITE, ACTIVITES SOCIALES ET PERSONNELLES",0.0
-1.0,110900.0,3.0,9.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,COMMERCE DE GROS ET DE DETAIL,1.0
0.0,6970.0,3.0,19.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 3,V,ACTIVITES IMMOBILIERES,0.0
-1.0,-56860.0,2.0,190.0,0.0,0.0,0.0,1,CSPLI CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,J,TRANSPORTS PAR LA VOIE TERRESTRE,1.0
-1.0,623188.0,3.0,348.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA AKWA 1,V,AUTRES S. SOC. c FOURN A LA COLLEC,1.0
6.0,0.0,3.0,101.0,0.0,0.0,0.0,1,CSPLI CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,J,SERV. FOURN. AUX ENTREPRISES,0.0
11.0,-1375.0,3.0,326.0,0.0,0.0,0.0,1,CSPLI CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,SERV. FOURN. AUX ENTREPRISES,0.0
-1.0,8557239.0,3.0,247.0,0.0,0.0,0.0,1,nan,V,TRANSPORTS MARITIME LONG COURS,1.0
-1.0,18017.0,3.0,231.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,COMMERCE DE GROS,0.0
-1.0,-18636.0,0.0,34.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA AKWA 1,R,COMMUNICATIONS,0.0
0.0,34268.0,3.0,3.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,TRANSITAIRES ET AGREES EN DOUANE,1.0
0.0,180524.0,0.0,23.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,1.0
-1.0,20042399.0,0.0,159.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES YAOUNDE EST,R,"INSTALLATION RESEAUX ELECTRIQUE, TELEPHONIQUE,",1.0
0.0,107617.0,2.0,39.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,J,BATIMENT ET TRAVAUX PUBLICS,1.0
